1	1	Roller Coaster Murder Case	January 8, 1996	May 24, 2004	New characterCharacter developmentRomanceBlack OrganizationCharacters pastsDetective Boys	V1 ~ F1(001)	N/A
2	2	Company President's Daughter Kidnapping Case	January 15, 1996	May 25, 2004	New characterCharacter developmentRomance	V1 - F2~5(002-005)	Skyscraper
3	3	An Idol's Locked Room Murder Case	January 22, 1996	May 26, 2004	New characterCharacter developmentDetective Boys	V1 - F6~9(006-009)	Ice
4	4	The Coded Map of the City Case	January 29, 1996	May 27, 2004	Character developmentRomanceDetective Boys	V4 - F7~10(036-039)	Neon sign
5	5	The Shinkansen's Bomb Case	February 5, 1996	May 31, 2004	Character developmentBlack OrganizationDetective Boys	V4 - F4~6 (h.a.)(033-035)	Cell phone
6	6	Valentine Murder Case	February 12, 1996	June 1, 2004	New characterCharacter developmentRomance	TV Original	Chocolate
7	7	Once-A-Month Present Threat Case	February 19, 1996	June 2, 2004	Character development	V3 - F7~10(026-029)	Bar code
8	8	Art Museum Owner Murder Case	February 26, 1996	June 3, 2004	New characterDetective Boys	V4 - F1~3(030-032)	Ballpoint pen
9	9	Tenkaichi Night Festival Murder Case	March 4, 1996	June 7, 2004	New character	V6 - F9 ~ V7 - F1(059-061)	Disposable camera
10	10	Pro Soccer Player Blackmail Case	March 11, 1996	June 8, 2004	New characterCharacter developmentRomanceDetective Boys	V7 - F8 ~ V8 - F1(068-071)	Video game
11	11-12	Moonlight Sonata Murder Case (1 Hour Special)	April 8, 1996	June 10, 2004	Character development	V7 - F2~7(062-067)	Sheet music
12	13	Ayumi-chan Kidnapping Case	April 15, 1996	June 14, 2004	Character developmentDetective Boys	V9 - F1~3(081-083)	School festival
13	14	The Strange Person Hunt Murder Case	April 22, 1996	June 15, 2004	New characterCharacter developmentBlack Organization	V2 - F4~7 (h.a.)(013-016)	¥1,000,000,000
14	15	The Mysterious Shooting Message Case	April 29, 1996	June 16, 2004	Detective Boys	TV Original	Calculator
15	16	Missing Corpse Murder Case	May 13, 1996	June 17, 2004	Detective Boys	V6 - F6~8(056-058)	Answering machine
16	17	The Antique Collector Murder Case	May 20, 1996	June 21, 2004		V6 - F2~5(052-055)	Drawer marks
17	18	Hijacked Department Store Case	May 27, 1996	June 22, 2004	Detective Boys	TV Original	Elevator girl
18	19	A June Bride Murder Case	June 3, 1996	June 23, 2004	New character	V8 - F8~10(078-080)	Medicine capsule
19	20	An Elevator Murder Case	June 10, 1996	June 24, 2004		TV Original	Bouquet
20	21	A Haunted Mansion Murder Case	June 17, 1996	June 28, 2004	Character developmentDetective Boys	V2 - F8~10(017-019)	Creepy basement
21	22	On Location, TV Drama Murder Case	June 24, 1996	June 29, 2004	New character	TV Original	Fu dog
22	23	Luxury Liner Serial Murder Case (Part 1)	July 1, 1996	June 30, 2004	New character	V3 - F1~6(020-025)	Bread crumb
23	24	Luxury Liner Serial Murder Case (Part 2)	July 8, 1996	July 1, 2004		V3 - F1~6(020-025)	Sketch book
24	25	The Mysterious Woman With Amnesia Case	July 15, 1996	July 5, 2004		TV Original	Pendant
25	26	The False Kidnapping and Hostage Case	July 22, 1996	July 6, 2004		TV Original	Scuba gear
26	27	Pet Dog John Murder Case	July 29, 1996	July 7, 2004		TV Original	Conditioned response
27	28	Kogoro's Class Reunion Murder Case (Part 1)	August 5, 1996	July 8, 2004	New characterCharacter development	V9 - F4~6(084-086)	Gun
28	29	Kogoro's Class Reunion Murder Case (Part 2)	August 12, 1996	July 12, 2004	Character development	V9 - F4~6(084-086)	Benkei
29	30	Computer Murder Case	August 19, 1996	July 13, 2004		TV Original	Cat
30	31	Alibi Testimony Murder Case	August 26, 1996	July 14, 2004		TV Original	Cassette tape
31	32	TV Station Murder Case	September 2, 1996	July 15, 2004		V11 - F2~4(102-104)	Window
32	33	Coffee Shop Murder Case	September 9, 1996	July 19, 2004	New character	V11 - F5~7(105-107)	Bathroom door
33	34	Detective Boys Survival Case	October 14, 1996	July 20, 2004	Character developmentDetective Boys	TV Original	Treasure map
34	35	Mountain Villa Bandaged Man Murder Case (Part 1)	October 21, 1996	July 21, 2004	New character	V5 - F1~5(040-044)	Peeping
35	36	Mountain Villa Bandaged Man Murder Case (Part 2)	October 28, 1996	July 22, 2004		V5 - F1~5(040-044)	Piano wire
36	37	Monday Night 7:30 p.m. Murder Case	November 4, 1996	July 26, 2004	Detective Boys	TV Original	Curtain
37	38	Cactus's Flower Murder Case	November 11, 1996	July 27, 2004		TV Original	Portrait
